_id,link,company,version,created_at,updated_at,update_at,add_date,address,full_address,city,region,longitude,latitude,price,revenu,plex-revenue,plex-revenu,municipal_evaluation_building,municipal_evaluation_land,municipal_evaluation_total,municipal_taxes,school_taxes,municipal_tax,school_tax,surface,living_area,construction_year,year_built,lot_size,type,bedrooms,nb_bedroom,bathrooms,nb_bathroom,unites,residential_units,commercial_units,parking,basement,building_style,depenses,vendue,description,img_src,image,images,extraction_metadata,municipal_evaluation_year
PROP_000010,https://example.com/property/10,Centris,v3,2025-05-22 12:48:58.427509,2025-06-21 12:48:58.427509,2025-05-25 12:48:58.427509,2025-05-24 12:48:58.427509,6150 Avenue Gatineau,"6150 Avenue Gatineau, QC",Gatineau,Laval,-65.72158269595589,51.45147124090708,1216142,88512.0,99660.0,,895394.7542457365,242031.6668028773,1137426.4210486135,2966,3029,2811,3156,4334,4272,1995,1993,10798.158670042116,Duplex,6,5,1,2,1,1,0,1,Oui,Contemporain,26196.0,False,Belle propriété duplex à Gatineau avec 6 chambres et 1 salles de bain.,https://example.com/images/property_10.jpg,https://example.com/images/property_10.jpg,['https://example.com/images/property_10.jpg'],"{'source': 'Centris', 'extraction_date': '2025-05-22T12:48:58.427509', 'confidence': 0.9742341958193188}",2018
PROP_000011,https://example.com/property/11,RE/MAX,v1,2025-08-06 12:48:58.427532,2025-08-26 12:48:58.427532,2025-08-22 12:48:58.427532,2025-08-08 12:48:58.427532,4915 Rue Longueuil,"4915 Rue Longueuil, QC",Longueuil,Outaouais,-62.31442325541737,56.70437721275348,527968,37656.0,,,717052.9977902491,152043.2585599178,869096.2563501669,2586,1092,2468,1072,3630,3761,1977,1976,8670.54843040635,Condo,2,1,3,2,1,1,2,2,Non,Contemporain,,True,Belle propriété condo à Longueuil avec 2 chambres et 3 salles de bain.,https://example.com/images/property_11.jpg,https://example.com/images/property_11.jpg,['https://example.com/images/property_11.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2025-08-06T12:48:58.427532', 'confidence': 0.9856308532989916}",2024
PROP_000012,https://example.com/property/12,RE/MAX,v1,2024-10-07 12:48:58.427554,2024-10-29 12:48:58.427554,2024-10-12 12:48:58.427554,2024-10-10 12:48:58.427554,8899 Rue Sherbrooke,"8899 Rue Sherbrooke, QC",Sherbrooke,Montérégie,-71.26585123913097,49.82383010091993,658477,,97164.0,26244.0,614539.3924470772,289017.60676329944,903556.9992103766,4424,3494,4712,3647,4238,4154,1989,1988,9585.678973792212,Condo,1,0,3,3,1,1,0,2,Oui,Traditionnel,27768.0,False,Belle propriété condo à Sherbrooke avec 1 chambres et 3 salles de bain.,https://example.com/images/property_12.jpg,https://example.com/images/property_12.jpg,['https://example.com/images/property_12.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2024-10-07T12:48:58.427554', 'confidence': 0.8614789948946272}",2020
PROP_000013,https://example.com/property/13,DuProprio,v2,2025-03-09 12:48:58.427574,2025-03-14 12:48:58.427574,2025-04-04 12:48:58.427574,2025-03-06 12:48:58.427574,9001 Avenue Québec,"9001 Avenue Québec, QC",Québec,Estrie,-62.8381477505104,60.4112887856875,1854726,31740.0,105936.0,59232.0,1598188.2171575965,459683.46458532865,2057871.6817429252,4093,3229,3740,3154,4518,4429,2015,2015,7184.638296262865,Maison unifamiliale,5,4,2,1,1,1,1,0,Non,Moderne,25920.0,True,Belle propriété maison unifamiliale à Québec avec 5 chambres et 2 salles de bain.,https://example.com/images/property_13.jpg,https://example.com/images/property_13.jpg,['https://example.com/images/property_13.jpg'],"{'source': 'DuProprio', 'extraction_date': '2025-03-09T12:48:58.427574', 'confidence': 0.8900615986940206}",2020
PROP_000014,https://example.com/property/14,Centris,v1,2025-07-12 12:48:58.427596,2025-08-07 12:48:58.427596,2025-08-10 12:48:58.427596,2025-07-14 12:48:58.427596,7906 Avenue Montréal,"7906 Avenue Montréal, QC",Montréal,Outaouais,-74.75761548744254,52.296717111859934,1811600,,91992.0,87720.0,1583312.9663896332,614572.453174995,2197885.419564628,3914,3908,3599,4059,2440,2428,1974,1975,5288.421288375344,Triplex,3,2,4,5,6,6,0,1,Partiel,Moderne,34068.0,True,Belle propriété triplex à Montréal avec 3 chambres et 4 salles de bain.,https://example.com/images/property_14.jpg,https://example.com/images/property_14.jpg,['https://example.com/images/property_14.jpg'],"{'source': 'Centris', 'extraction_date': '2025-07-12T12:48:58.427596', 'confidence': 0.8157621709655484}",2019
PROP_000015,https://example.com/property/15,Royal LePage,v3,2024-12-07 12:48:58.427618,2024-12-08 12:48:58.427618,2024-12-31 12:48:58.427618,2024-12-10 12:48:58.427618,5526 Avenue Montréal,"5526 Avenue Montréal, QC",Montréal,Capitale-Nationale,-60.13852547542949,46.274717087136445,1858544,66492.0,,,1605300.9761787048,440457.3312358507,2045758.3074145557,7107,3040,7330,2881,4605,4748,2013,2012,13399.81668285362,Duplex,5,4,4,5,3,3,0,0,Partiel,Moderne,31296.0,False,Belle propriété duplex à Montréal avec 5 chambres et 4 salles de bain.,https://example.com/images/property_15.jpg,https://example.com/images/property_15.jpg,['https://example.com/images/property_15.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2024-12-07T12:48:58.427618', 'confidence': 0.8640623726875093}",2024
PROP_000016,https://example.com/property/16,Centris,v2,2024-09-01 12:48:58.427639,2024-09-23 12:48:58.427639,2024-09-17 12:48:58.427639,2024-09-06 12:48:58.427639,9133 Boulevard Sherbrooke,"9133 Boulevard Sherbrooke, QC",Sherbrooke,Outaouais,-68.44727171634636,47.172062282954144,527147,27012.0,111888.0,,431863.4982380839,221149.42936572587,653012.9276038097,7400,1320,6964,1376,918,828,1959,1960,2162.114128105946,Appartement,3,2,3,3,1,1,0,0,Partiel,Moderne,,True,Belle propriété appartement à Sherbrooke avec 3 chambres et 3 salles de bain.,https://example.com/images/property_16.jpg,https://example.com/images/property_16.jpg,['https://example.com/images/property_16.jpg'],"{'source': 'Centris', 'extraction_date': '2024-09-01T12:48:58.427639', 'confidence': 0.8131743010618363}",2018
PROP_000017,https://example.com/property/17,Royal LePage,v1,2024-12-24 12:48:58.427660,2025-01-03 12:48:58.427660,2025-01-11 12:48:58.427660,2024-12-25 12:48:58.427660,2494 Rue Laval,"2494 Rue Laval, QC",Laval,Capitale-Nationale,-77.09691888302774,60.323640903470874,955343,,,,1072096.0226024117,260869.88867238647,1332965.9112747982,3589,1464,3241,1323,843,819,2008,2008,2083.445764914773,Maison unifamiliale,2,3,2,3,1,1,0,3,Partiel,Contemporain,,True,Belle propriété maison unifamiliale à Laval avec 2 chambres et 2 salles de bain.,https://example.com/images/property_17.jpg,https://example.com/images/property_17.jpg,['https://example.com/images/property_17.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2024-12-24T12:48:58.427660', 'confidence': 0.8237767909953924}",2024
PROP_000018,https://example.com/property/18,RE/MAX,v3,2025-05-03 12:48:58.427680,2025-05-15 12:48:58.427680,2025-05-30 12:48:58.427680,2025-05-06 12:48:58.427680,7040 Rue Gatineau,"7040 Rue Gatineau, QC",Gatineau,Estrie,-78.93202046800283,57.13443030745,1709892,39552.0,,36936.0,1430135.9881596176,840366.6480445709,2270502.6362041887,4768,3148,4456,2997,2215,2091,1995,1997,4918.580770413679,Condo,1,0,4,4,1,1,0,2,Partiel,Contemporain,,False,Belle propriété condo à Gatineau avec 1 chambres et 4 salles de bain.,https://example.com/images/property_18.jpg,https://example.com/images/property_18.jpg,['https://example.com/images/property_18.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2025-05-03T12:48:58.427680', 'confidence': 0.9586837492118925}",2020
PROP_000019,https://example.com/property/19,Royal LePage,v3,2025-05-07 12:48:58.427701,2025-05-12 12:48:58.427701,2025-06-04 12:48:58.427701,2025-05-04 12:48:58.427701,1100 Avenue Gatineau,"1100 Avenue Gatineau, QC",Gatineau,Capitale-Nationale,-75.32494696477849,57.519231372601126,1693950,39072.0,29076.0,48576.0,1434992.207702873,799970.9787121317,2234963.1864150045,3531,3999,3358,4015,2799,2844,1996,1994,4504.909053809415,Appartement,3,2,2,1,1,1,1,0,Oui,Contemporain,35796.0,False,Belle propriété appartement à Gatineau avec 3 chambres et 2 salles de bain.,https://example.com/images/property_19.jpg,https://example.com/images/property_19.jpg,['https://example.com/images/property_19.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2025-05-07T12:48:58.427701', 'confidence': 0.9899769736204284}",2021
PROP_000020,https://example.com/property/20,RE/MAX,v3,2025-04-26 12:48:58.427724,2025-05-10 12:48:58.427724,2025-04-28 12:48:58.427724,2025-04-29 12:48:58.427724,7628 Avenue Longueuil,"7628 Avenue Longueuil, QC",Longueuil,Montérégie,-65.77755521884522,54.6397390494473,922011,27804.0,113352.0,,709516.0150326118,199676.946234508,909192.9612671196,6550,3020,6956,2950,3820,3657,1988,1989,11081.565962100063,Appartement,6,7,1,2,1,1,0,3,Non,Traditionnel,10308.0,False,Belle propriété appartement à Longueuil avec 6 chambres et 1 salles de bain.,https://example.com/images/property_20.jpg,https://example.com/images/property_20.jpg,['https://example.com/images/property_20.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2025-04-26T12:48:58.427724', 'confidence': 0.9095556024521082}",2021
PROP_000021,https://example.com/property/21,RE/MAX,v2,2024-11-04 12:48:58.427745,2024-11-07 12:48:58.427745,2024-12-02 12:48:58.427745,2024-11-03 12:48:58.427745,6140 Rue Longueuil,"6140 Rue Longueuil, QC",Longueuil,Outaouais,-61.90924908868075,51.56845240977861,293285,52176.0,,97296.0,199746.2623020544,79723.50056181109,279469.7628638655,5044,2868,5002,2670,4303,4294,2006,2007,10345.991651858792,Maison unifamiliale,6,6,2,2,1,1,0,1,Oui,Victorian,,False,Belle propriété maison unifamiliale à Longueuil avec 6 chambres et 2 salles de bain.,https://example.com/images/property_21.jpg,https://example.com/images/property_21.jpg,['https://example.com/images/property_21.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2024-11-04T12:48:58.427745', 'confidence': 0.8733492104211881}",2019
PROP_000022,https://example.com/property/22,Royal LePage,v1,2025-03-18 12:48:58.427765,2025-03-23 12:48:58.427765,2025-03-30 12:48:58.427765,2025-03-22 12:48:58.427765,1009 Rue Longueuil,"1009 Rue Longueuil, QC",Longueuil,Montérégie,-70.85458319099315,52.78862396811877,373258,81240.0,117156.0,62364.0,287544.0589131986,112381.4706318082,399925.5295450068,6317,3809,5925,3846,3140,3170,1962,1963,5793.674079323326,Condo,3,3,4,3,1,1,0,0,Partiel,Traditionnel,20004.0,False,Belle propriété condo à Longueuil avec 3 chambres et 4 salles de bain.,https://example.com/images/property_22.jpg,https://example.com/images/property_22.jpg,['https://example.com/images/property_22.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2025-03-18T12:48:58.427765', 'confidence': 0.9704773706319618}",2022
PROP_000023,https://example.com/property/23,Royal LePage,v2,2025-07-11 12:48:58.427786,2025-08-09 12:48:58.427786,2025-08-02 12:48:58.427786,2025-07-12 12:48:58.427786,5335 Avenue Sherbrooke,"5335 Avenue Sherbrooke, QC",Sherbrooke,Laval,-67.96029850472709,51.66965435729677,1348197,27132.0,70608.0,,1238855.275709501,267409.34756092133,1506264.6232704222,7455,3882,7061,4074,4865,4761,1974,1973,11153.582283397778,Maison unifamiliale,4,4,1,1,1,1,0,4,Non,Contemporain,29796.0,False,Belle propriété maison unifamiliale à Sherbrooke avec 4 chambres et 1 salles de bain.,https://example.com/images/property_23.jpg,https://example.com/images/property_23.jpg,['https://example.com/images/property_23.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2025-07-11T12:48:58.427786', 'confidence': 0.9146637446453242}",2019
PROP_000024,https://example.com/property/24,RE/MAX,v3,2025-07-14 12:48:58.427807,2025-07-16 12:48:58.427807,2025-07-19 12:48:58.427807,2025-07-11 12:48:58.427807,643 Avenue Québec,"643 Avenue Québec, QC",Québec,Capitale-Nationale,-78.32328512153993,49.425485127804826,1825742,23628.0,71196.0,71076.0,1844963.764237163,862250.3770676617,2707214.1413048245,6666,3077,7166,2991,4267,4366,1984,1984,6906.0318009018365,Condo,3,2,1,0,1,1,0,2,Non,Contemporain,,True,Belle propriété condo à Québec avec 3 chambres et 1 salles de bain.,https://example.com/images/property_24.jpg,https://example.com/images/property_24.jpg,['https://example.com/images/property_24.jpg'],"{'source': 'RE/MAX', 'extraction_date': '2025-07-14T12:48:58.427807', 'confidence': 0.8747276521620102}",2024
PROP_000025,https://example.com/property/25,DuProprio,v3,2025-06-09 12:48:58.427828,2025-06-24 12:48:58.427828,2025-06-20 12:48:58.427828,2025-06-04 12:48:58.427828,7740 Rue Sherbrooke,"7740 Rue Sherbrooke, QC",Sherbrooke,Estrie,-76.07582301067444,54.85651987976646,959374,32880.0,97992.0,43416.0,764236.3212412256,214045.2549833496,978281.5762245752,5885,3523,6355,3681,2060,2149,1952,1953,4688.0663931413355,Maison unifamiliale,1,2,3,2,1,1,0,2,Oui,Moderne,,False,Belle propriété maison unifamiliale à Sherbrooke avec 1 chambres et 3 salles de bain.,https://example.com/images/property_25.jpg,https://example.com/images/property_25.jpg,['https://example.com/images/property_25.jpg'],"{'source': 'DuProprio', 'extraction_date': '2025-06-09T12:48:58.427828', 'confidence': 0.8801354374515042}",2021
PROP_000026,https://example.com/property/26,Centris,v2,2025-07-14 12:48:58.427848,2025-07-28 12:48:58.427848,2025-07-29 12:48:58.427848,2025-07-18 12:48:58.427848,8127 Boulevard Québec,"8127 Boulevard Québec, QC",Québec,Outaouais,-78.56328016440092,61.96295113924668,350271,,92316.0,,323372.6906735563,116912.95656960526,440285.6472431616,3710,2622,3226,2667,2920,3032,2007,2006,8081.973446288636,Duplex,2,3,1,2,3,3,0,3,Non,Moderne,,False,Belle propriété duplex à Québec avec 2 chambres et 1 salles de bain.,https://example.com/images/property_26.jpg,https://example.com/images/property_26.jpg,['https://example.com/images/property_26.jpg'],"{'source': 'Centris', 'extraction_date': '2025-07-14T12:48:58.427848', 'confidence': 0.8783154725200377}",2023
PROP_000027,https://example.com/property/27,Royal LePage,v2,2025-04-21 12:48:58.427869,2025-04-26 12:48:58.427869,2025-04-30 12:48:58.427869,2025-04-22 12:48:58.427869,7692 Rue Québec,"7692 Rue Québec, QC",Québec,Montérégie,-57.197012441430005,50.46118546533197,1686781,40884.0,,78840.0,2165373.379313533,476167.8867462243,2641541.2660597577,4309,1945,4034,1890,4738,4853,1986,1988,7323.065427141621,Appartement,3,2,4,5,1,1,0,2,Non,Contemporain,18984.0,True,Belle propriété appartement à Québec avec 3 chambres et 4 salles de bain.,https://example.com/images/property_27.jpg,https://example.com/images/property_27.jpg,['https://example.com/images/property_27.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2025-04-21T12:48:58.427869', 'confidence': 0.8192674682967477}",2018
PROP_000028,https://example.com/property/28,Centris,v2,2025-01-31 12:48:58.427890,2025-03-02 12:48:58.427890,2025-02-08 12:48:58.427890,2025-01-27 12:48:58.427890,440 Avenue Québec,"440 Avenue Québec, QC",Québec,Estrie,-76.43433560212752,60.77272323318009,1698581,30348.0,46296.0,51276.0,1676032.227649728,357768.58850655955,2033800.8161562877,7308,1509,7155,1355,4413,4413,2016,2017,9306.158914806258,Condo,1,0,3,4,1,1,0,1,Non,Traditionnel,15684.0,True,Belle propriété condo à Québec avec 1 chambres et 3 salles de bain.,https://example.com/images/property_28.jpg,https://example.com/images/property_28.jpg,['https://example.com/images/property_28.jpg'],"{'source': 'Centris', 'extraction_date': '2025-01-31T12:48:58.427890', 'confidence': 0.9129174078456261}",2022
PROP_000029,https://example.com/property/29,Royal LePage,v3,2024-12-26 12:48:58.427911,2025-01-13 12:48:58.427911,2024-12-26 12:48:58.427911,2024-12-24 12:48:58.427911,7309 Boulevard Sherbrooke,"7309 Boulevard Sherbrooke, QC",Sherbrooke,Laval,-57.26123603858083,55.21371592178668,238367,,57792.0,,238409.9364630157,56338.19779915557,294748.1342621713,7776,3702,7955,3702,3376,3439,1978,1977,5986.74392127763,Duplex,3,4,3,4,2,2,0,4,Oui,Victorian,30528.0,True,Belle propriété duplex à Sherbrooke avec 3 chambres et 3 salles de bain.,https://example.com/images/property_29.jpg,https://example.com/images/property_29.jpg,['https://example.com/images/property_29.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2024-12-26T12:48:58.427911', 'confidence': 0.991104734435998}",2021
PROP_000030,https://example.com/property/30,Royal LePage,v2,2025-01-04 12:48:58.427932,2025-01-09 12:48:58.427932,2025-01-08 12:48:58.427932,2025-01-08 12:48:58.427932,2963 Avenue Laval,"2963 Avenue Laval, QC",Laval,Estrie,-73.92449256454505,59.18030065505135,1734919,81144.0,46632.0,,1980709.3105176296,374502.18811204983,2355211.498629679,2421,2019,2219,1869,3721,3696,1997,1997,10824.129037802402,Maison unifamiliale,2,2,1,1,1,1,0,3,Non,Moderne,22416.0,True,Belle propriété maison unifamiliale à Laval avec 2 chambres et 1 salles de bain.,https://example.com/images/property_30.jpg,https://example.com/images/property_30.jpg,['https://example.com/images/property_30.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2025-01-04T12:48:58.427932', 'confidence': 0.9779217955082471}",2024
PROP_000031,https://example.com/property/31,Royal LePage,v3,2024-08-20 12:48:58.427953,2024-09-16 12:48:58.427953,2024-09-19 12:48:58.427953,2024-08-20 12:48:58.427953,9562 Avenue Montréal,"9562 Avenue Montréal, QC",Montréal,Montérégie,-72.86430055232228,50.84381726700683,1729394,82512.0,,52128.0,1470730.0014311124,756576.2472761872,2227306.2487072996,5589,2117,5542,2166,1789,1622,1994,1994,3961.894788225072,Duplex,3,3,4,4,1,1,0,4,Non,Moderne,31260.0,False,Belle propriété duplex à Montréal avec 3 chambres et 4 salles de bain.,https://example.com/images/property_31.jpg,https://example.com/images/property_31.jpg,['https://example.com/images/property_31.jpg'],"{'source': 'Royal LePage', 'extraction_date': '2024-08-20T12:48:58.427953', 'confidence': 0.8283673940679854}",2019
PROP_000032,https://example.com/property/32,Centris,v2,2025-03-13 12:48:58.427974,2025-03-31 12:48:58.427974,2025-04-05 12:48:58.427974,2025-03-18 12:48:58.427974,8101 Rue Montréal,"8101 Rue Montréal, QC",Montréal,Outaouais,-76.94659721341891,50.90386903179026,862160,63264.0,75744.0,58668.0,646791.2148521256,278076.14958225685,924867.3644343824,3582,1392,3301,1299,3791,3802,1952,1952,10929.18487896046,Maison unifamiliale,4,3,3,2,1,1,0,1,Non,Contemporain,27696.0,True,Belle propriété maison unifamiliale à Montréal avec 4 chambres et 3 salles de bain.,https://example.com/images/property_32.jpg,https://example.com/images/property_32.jpg,['https://example.com/images/property_32.jpg'],"{'source': 'Centris', 'extraction_date': '2025-03-13T12:48:58.427974', 'confidence': 0.9251981495595555}",2022
